iter	Passed	Remaining
0	0	144
1	0	112
2	1	99
3	2	136
4	2	123
5	2	113
6	3	106
7	3	101
8	3	97
9	4	94
10	4	91
11	4	89
12	5	87
13	5	85
14	5	84
15	6	82
16	6	81
17	6	80
18	7	79
19	7	78
20	7	77
21	7	76
22	8	75
23	8	74
24	8	74
25	9	73
26	9	72
27	18	132
28	18	129
29	18	126
30	18	123
31	19	121
32	19	118
33	19	116
34	20	114
35	20	112
36	20	110
37	21	108
38	23	118
39	24	116
40	24	114
41	24	112
42	25	111
43	25	109
44	25	107
45	26	105
46	26	104
47	26	102
48	26	101
49	27	99
50	27	98
51	27	97
52	28	95
53	28	94
54	28	93
55	29	92
56	29	91
57	29	90
58	30	88
59	30	87
60	30	86
61	31	85
62	31	84
63	31	83
64	41	106
65	41	105
66	41	103
67	42	102
68	42	101
69	42	99
70	43	98
71	43	97
72	43	96
73	44	94
74	44	93
75	44	92
76	45	91
77	45	90
78	45	89
79	46	88
80	46	87
81	46	85
82	46	84
83	52	92
84	52	91
85	53	90
86	53	89
87	53	88
88	53	87
89	54	86
90	54	85
91	54	84
92	55	83
93	55	82
94	55	81
95	56	80
96	56	79
97	56	78
98	57	77
99	57	76
100	57	75
101	58	74
102	58	73
103	58	72
104	58	71
105	59	70
106	61	72
107	63	73
108	63	72
109	64	71
110	64	70
111	64	69
112	65	69
113	65	68
114	65	67
115	65	66
116	66	65
117	66	64
118	66	64
119	67	63
120	67	62
121	67	61
122	69	62
123	69	61
124	69	60
125	70	59
126	70	58
127	70	58
128	71	57
129	71	56
130	71	55
131	72	55
132	72	54
133	72	53
134	73	53
135	73	52
136	73	51
137	73	50
138	74	50
139	74	49
140	74	48
141	75	48
142	75	47
143	75	46
144	75	46
145	76	45
146	76	44
147	76	44
148	77	43
149	78	43
150	78	42
151	79	42
152	79	41
153	79	40
154	79	40
155	80	39
156	80	38
157	80	38
158	81	37
159	81	37
160	81	36
161	82	35
162	82	35
163	82	34
164	82	34
165	83	33
166	83	33
167	83	32
168	84	31
169	84	31
170	84	30
171	85	30
172	85	29
173	85	29
174	85	28
175	86	27
176	86	27
177	89	27
178	89	26
179	89	26
180	90	25
181	90	25
182	90	24
183	91	24
184	91	23
185	91	23
186	91	22
187	92	22
188	92	21
189	92	21
190	93	20
191	93	19
192	93	19
193	94	18
194	94	18
195	94	17
196	95	17
197	95	16
198	95	16
199	95	15
200	96	15
201	96	14
202	96	14
203	97	13
204	97	13
205	97	12
206	98	12
207	98	11
208	98	11
209	105	11
210	106	11
211	106	10
212	106	10
213	107	9
214	107	8
215	107	8
216	108	7
217	108	7
218	108	6
219	108	6
220	109	5
221	109	5
222	109	4
223	110	4
224	110	3
225	110	3
226	117	3
227	117	2
228	117	2
229	118	1
230	118	1
231	118	0
232	118	0
