learner,dimension,tuner,mean_final_score,std_final_score,min_final_score,max_final_score,n_reps,n_iterations
x_cb,1d,bayes,1.171346134058301,0.043301903312897565,1.1006947826208042,1.2536633229772078,30,50
x_cb,1d,random,1.173460398197964,0.043792924988625685,1.1068443798986316,1.261322903959173,30,50
x_cb,2d,bayes,1.146150500571552,0.041379179203183875,1.0797379760796553,1.2210357583849116,30,60
x_cb,2d,random,1.184575067089755,0.04773774306565276,1.102772942992974,1.2734043837781597,30,60
x_cb,4d,bayes,1.1395661039449008,0.041090687639216174,1.066773641984373,1.2213395457183256,30,80
x_cb,4d,random,1.147543374266661,0.04261342686965781,1.0727173438551243,1.2308200037245691,30,80
x_cb,6d,bayes,1.1228806387504635,0.04581441196635552,1.0365637458728576,1.223528063691483,30,100
x_cb,6d,random,1.1409232756192524,0.047150220795475956,1.045490182088358,1.2362980756159196,30,100
x_rf,1d,bayes,1.2244794575383153,0.041876269841922185,1.141406184954499,1.3025466705045112,30,50
x_rf,1d,random,1.2244794575383153,0.04187626984192221,1.141406184954499,1.3025466705045112,30,50
x_rf,2d,bayes,1.2174011603433226,0.0439302323377389,1.1401436546930592,1.297741188596208,30,60
x_rf,2d,random,1.2188852420651384,0.04407234846274899,1.141406184954499,1.3018559227997557,30,60
x_rf,4d,bayes,1.2012945390586205,0.0384056826621539,1.1301607928188695,1.2606052428873362,30,80
x_rf,4d,random,1.2099368649835012,0.0388798981173449,1.1494505305298546,1.281670303784774,30,80
x_rf,6d,bayes,1.2050327919175818,0.039080329301962834,1.1355330267549413,1.2715779566949896,30,100
x_rf,6d,random,1.2105793222862824,0.03985499012190754,1.1466868498076277,1.2796701797217345,30,100
