iter,params,score,pred_mu,pred_std
0,"{'models__learning_rate': 0.1302171277662968, 'models__depth': np.int64(6), 'models__iterations': np.int64(72), 'models__l2_leaf_reg': np.int64(5), 'models__random_strength': 6.262085287362281, 'models__subsample': 0.4803180122964128}",1.1561786715461038,,
1,"{'models__learning_rate': 0.06021712776629678, 'models__depth': np.int64(9), 'models__iterations': np.int64(197), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 1.2670852873622818, 'models__subsample': 0.7803180122964128}",1.205254598000759,1.2052545978802336,1.0000000413701846e-05
2,"{'models__learning_rate': 0.09521712776629676, 'models__depth': np.int64(7), 'models__iterations': np.int64(259), 'models__l2_leaf_reg': np.int64(7), 'models__random_strength': 3.7645852873622814, 'models__subsample': 0.6303180122964127}",1.1476072357264429,1.1476072356116822,1.0000000413701846e-05
3,"{'models__learning_rate': 0.025217127766296775, 'models__depth': np.int64(4), 'models__iterations': np.int64(134), 'models__l2_leaf_reg': np.int64(3), 'models__random_strength': 8.759585287362281, 'models__subsample': 0.9303180122964128}",1.3299967611705883,1.3299967610375885,1.0000000413701846e-05
4,"{'models__learning_rate': 0.04271712776629678, 'models__depth': np.int64(8), 'models__iterations': np.int64(228), 'models__l2_leaf_reg': np.int64(6), 'models__random_strength': 5.013335287362281, 'models__subsample': 0.4053180122964128}",1.1918623964674742,1.1918623963482877,1.0000000413701846e-05
5,"{'models__learning_rate': 0.11271712776629676, 'models__depth': np.int64(5), 'models__iterations': np.int64(103), 'models__l2_leaf_reg': np.int64(2), 'models__random_strength': 0.01833528736228168, 'models__subsample': 0.7053180122964128}",1.1377678343249162,1.1377678342111393,1.0000000413701846e-05
6,"{'models__learning_rate': 0.07771712776629677, 'models__depth': np.int64(6), 'models__iterations': np.int64(166), 'models__l2_leaf_reg': np.int64(9), 'models__random_strength': 7.510835287362282, 'models__subsample': 0.8553180122964128}",1.1166023746603757,1.1166023745487152,1.0000000413701846e-05
7,"{'models__learning_rate': 0.14771712776629678, 'models__depth': np.int64(10), 'models__iterations': np.int64(291), 'models__l2_leaf_reg': np.int64(4), 'models__random_strength': 2.5158352873622816, 'models__subsample': 0.5553180122964128}",1.286038259123614,1.2860382589950101,1.0000000413701846e-05
8,"{'models__learning_rate': 0.016467127766296778, 'models__depth': np.int64(8), 'models__iterations': np.int64(150), 'models__l2_leaf_reg': np.int64(2), 'models__random_strength': 1.8914602873622817, 'models__subsample': 0.5928180122964127}",1.3347899232188514,1.3347899230853724,1.0000000413701846e-05
9,"{'models__learning_rate': 0.08646712776629677, 'models__depth': np.int64(4), 'models__iterations': np.int64(275), 'models__l2_leaf_reg': np.int64(7), 'models__random_strength': 6.886460287362282, 'models__subsample': 0.8928180122964128}",1.1045169761082985,1.1045169759978468,1.0000000413701846e-05
10,"{'models__learning_rate': 0.07977900094257302, 'models__depth': np.int64(3), 'models__iterations': np.int64(285), 'models__l2_leaf_reg': np.int64(7), 'models__random_strength': 9.793908802685309, 'models__subsample': 1.0}",1.1131478299799913,1.1131478298686763,1.0000000413701846e-05
11,"{'models__learning_rate': 0.12112057816692515, 'models__depth': np.int64(4), 'models__iterations': np.int64(296), 'models__l2_leaf_reg': np.int64(6), 'models__random_strength': 9.189559466051882, 'models__subsample': 0.851743860679248}",1.1306851532488835,1.1306851531358149,1.0000000413701846e-05
12,"{'models__learning_rate': 0.08409231815342241, 'models__depth': np.int64(10), 'models__iterations': np.int64(50), 'models__l2_leaf_reg': np.int64(1), 'models__random_strength': 0.01, 'models__subsample': 0.4}",1.33117238281069,1.331172382677573,1.0000000413701846e-05
13,"{'models__learning_rate': 0.0816050807491089, 'models__depth': np.int64(4), 'models__iterations': np.int64(50), 'models__l2_leaf_reg': np.int64(9), 'models__random_strength': 0.01, 'models__subsample': 0.4}",1.1678145285470443,1.167814528430263,1.0000000413701846e-05
14,"{'models__learning_rate': 0.09136269330990021, 'models__depth': np.int64(4), 'models__iterations': np.int64(197), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 10.0, 'models__subsample': 0.8074510379186824}",1.0931894391325108,1.093189439023192,1.0000000413701846e-05
15,"{'models__learning_rate': 0.15, 'models__depth': np.int64(3), 'models__iterations': np.int64(50), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 10.0, 'models__subsample': 0.9999999999999999}",1.2342601196793177,1.2342601195558915,1.0000000413701846e-05
16,"{'models__learning_rate': 0.09265063616963778, 'models__depth': np.int64(5), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 10.0, 'models__subsample': 1.0}",1.1233756545331857,1.1233756544208484,9.999983760343299e-06
17,"{'models__learning_rate': 0.0994492634065536, 'models__depth': np.int64(3), 'models__iterations': np.int64(232), 'models__l2_leaf_reg': np.int64(1), 'models__random_strength': 0.01, 'models__subsample': 0.4}",1.121899198094735,1.1218991979825452,1.0000000413701846e-05
18,"{'models__learning_rate': 0.07923419688750565, 'models__depth': np.int64(5), 'models__iterations': np.int64(218), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 8.767194132997194, 'models__subsample': 0.4}",1.0817679987179345,1.0817679986097575,1.0000000413701846e-05
19,"{'models__learning_rate': 0.06367333376373871, 'models__depth': np.int64(5), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 10.0, 'models__subsample': 0.4}",1.0704999896406002,1.0704999895968341,1.000001151592547e-05
20,"{'models__learning_rate': 0.06454962999513286, 'models__depth': np.int64(6), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 10.0, 'models__subsample': 1.0}",1.118507350589743,1.1185073505206051,1.0000005964815199e-05
21,"{'models__learning_rate': 0.06348490322748855, 'models__depth': np.int64(4), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 0.01, 'models__subsample': 0.4}",1.0916699087118926,1.0916699086027257,1.0000000413701846e-05
22,"{'models__learning_rate': 0.0783301958828261, 'models__depth': np.int64(4), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 10.0, 'models__subsample': 0.4}",1.0909528070512493,1.0909528069506451,1.0000000413701846e-05
23,"{'models__learning_rate': 0.01, 'models__depth': np.int64(6), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 10.0, 'models__subsample': 0.4}",1.4485766374290596,1.4485766371542235,9.999989311465896e-06
24,"{'models__learning_rate': 0.06467081444355587, 'models__depth': np.int64(5), 'models__iterations': np.int64(227), 'models__l2_leaf_reg': np.int64(1), 'models__random_strength': 10.0, 'models__subsample': 0.4}",1.0830271846623927,1.08302718455409,1.0000000413701846e-05
25,"{'models__learning_rate': 0.06885199356793505, 'models__depth': np.int64(6), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(9), 'models__random_strength': 10.0, 'models__subsample': 0.4}",1.1197244033926417,1.1197244033540725,1.0000000413701846e-05
26,"{'models__learning_rate': 0.15, 'models__depth': np.int64(6), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(3), 'models__random_strength': 0.01, 'models__subsample': 0.5939536012300025}",1.157830865145284,1.157830865029501,1.0000000413701846e-05
27,"{'models__learning_rate': 0.15, 'models__depth': np.int64(3), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 0.01, 'models__subsample': 0.4}",1.162876202378944,1.1628762022996801,1.0000000413701846e-05
28,"{'models__learning_rate': 0.0693061210664683, 'models__depth': np.int64(4), 'models__iterations': np.int64(224), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 10.0, 'models__subsample': 0.4}",1.0892565227357411,1.0892565226268154,1.0000000413701846e-05
29,"{'models__learning_rate': 0.03637648571734776, 'models__depth': np.int64(10), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 10.0, 'models__subsample': 0.4}",1.2713385025199544,1.2713385023928794,9.999989311465896e-06
30,"{'models__learning_rate': 0.15, 'models__depth': np.int64(10), 'models__iterations': np.int64(50), 'models__l2_leaf_reg': np.int64(1), 'models__random_strength': 3.3128680774565233, 'models__subsample': 0.5076599311255434}",1.3463891896563431,1.3463891895222664,1.0000005964815199e-05
31,"{'models__learning_rate': 0.06963171347028542, 'models__depth': np.int64(5), 'models__iterations': np.int64(241), 'models__l2_leaf_reg': np.int64(1), 'models__random_strength': 0.01, 'models__subsample': 1.0}",1.17170022281244,1.1717002226952702,1.0000000413701846e-05
32,"{'models__learning_rate': 0.06217716496400913, 'models__depth': np.int64(3), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 5.745836864579726, 'models__subsample': 0.4}",1.0601243153956712,1.0601243152896678,9.999994862585412e-06
33,"{'models__learning_rate': 0.04850287679882098, 'models__depth': np.int64(3), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(2), 'models__random_strength': 0.01, 'models__subsample': 0.4}",1.0881134357428515,1.0881134356347975,1.0000000413701846e-05
34,"{'models__learning_rate': 0.05870488536226418, 'models__depth': np.int64(3), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 5.064018213994331, 'models__subsample': 0.4}",1.0618740434777572,1.061874043418131,1.0000005964815199e-05
35,"{'models__learning_rate': 0.10290828249532422, 'models__depth': np.int64(3), 'models__iterations': np.int64(50), 'models__l2_leaf_reg': np.int64(7), 'models__random_strength': 8.980710253929514, 'models__subsample': 0.4}",1.2809144256377591,1.2809144255103442,1.000001151592547e-05
36,"{'models__learning_rate': 0.11516225792648944, 'models__depth': np.int64(6), 'models__iterations': np.int64(195), 'models__l2_leaf_reg': np.int64(10), 'models__random_strength': 10.0, 'models__subsample': 0.4}",1.1324222773866899,1.132422277275258,1.0000005964815199e-05
37,"{'models__learning_rate': 0.06743218645527796, 'models__depth': np.int64(3), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(6), 'models__random_strength': 0.01, 'models__subsample': 0.4}",1.088290870831245,1.0882908707225047,9.999994862585412e-06
38,"{'models__learning_rate': 0.05239408962822081, 'models__depth': np.int64(5), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(1), 'models__random_strength': 10.0, 'models__subsample': 0.4}",1.0730181429259018,1.0730181428186,1.0000000413701846e-05
39,"{'models__learning_rate': 0.1252456527524987, 'models__depth': np.int64(6), 'models__iterations': np.int64(300), 'models__l2_leaf_reg': np.int64(3), 'models__random_strength': 0.01, 'models__subsample': 0.4}",1.15659024987871,1.1565902498243477,1.0000000413701846e-05
